Borough,trip_count,avg_fare,avg_distance,company,month
Bronx,388,15.323608247422682,4.233891752577319,yellow,1
Brooklyn,5590,13.531584973166368,3.395597495527728,yellow,1
EWR,2,82.1,14.524999999999999,yellow,1
Manhattan,456412,10.674275983102987,2.2401159697816886,yellow,1
Queens,29284,35.216867231252564,11.46763625187816,yellow,1
Staten Island,5,7.7,1.46,yellow,1
Unknown,8265,12.045130066545674,2.7317906836055657,yellow,1
Bronx,341,16.171554252199414,3.747888563049853,yellow,2
Brooklyn,5432,13.265935198821797,3.2828184830633287,yellow,2
EWR,5,71.7,9.634,yellow,2
Manhattan,458936,10.789563098122613,2.2724957510415393,yellow,2
Queens,27991,34.52932835554285,11.267309849594513,yellow,2
Staten Island,3,26.5,9.13,yellow,2
Unknown,7224,11.835963455149502,2.66078211517165,yellow,2
Bronx,520,17.54559615384615,4.6131153846153845,yellow,3
Brooklyn,6453,14.153573531690686,3.501059972105997,yellow,3
EWR,4,75.625,21.1375,yellow,3
Manhattan,455986,11.038859460597475,2.323983433701912,yellow,3
Queens,29307,35.443180810045384,11.427966356160644,yellow,3
Staten Island,3,26.833333333333332,8.51,yellow,3
Unknown,7675,12.095897068403907,2.6914553745928336,yellow,3
Bronx,569,20.127469244288225,5.243567662565906,yellow,4
Brooklyn,6187,14.739214481978342,3.6787506061095847,yellow,4
EWR,4,59.0,10.425,yellow,4
Manhattan,454426,11.270455057589134,2.3553505741308816,yellow,4
Queens,31429,35.99809188965605,11.595737058131025,yellow,4
Staten Island,2,31.75,11.23,yellow,4
Unknown,7335,12.382753919563736,2.7455269256987047,yellow,4
Bronx,543,22.285469613259668,5.967348066298342,yellow,5
Brooklyn,6591,15.35955090274617,3.850600819299044,yellow,5
EWR,2,63.0,16.305,yellow,5
Manhattan,454048,11.611629321129044,2.4158574644090494,yellow,5
Queens,32574,36.38136059433904,11.547378277153557,yellow,5
Staten Island,7,39.57142857142857,11.857142857142858,yellow,5
Unknown,6175,12.999557894736842,2.8916404858299596,yellow,5
Bronx,528,22.230113636363637,6.299450757575758,yellow,6
Brooklyn,6935,15.322000000000001,3.8846546503244417,yellow,6
EWR,2,30.0,7.24,yellow,6
Manhattan,453945,11.51139400147595,2.417375012391369,yellow,6
Queens,32088,36.21581681625529,11.532440164547495,yellow,6
Staten Island,6,44.833333333333336,14.206666666666665,yellow,6
Unknown,6420,12.779831775700936,2.8791199376947043,yellow,6
Bronx,533,20.984052532833022,5.704746716697937,yellow,7
Brooklyn,5906,15.250943108703016,3.8818658990856756,yellow,7
EWR,3,98.94,11.44,yellow,7
Manhattan,453301,11.318289591242905,2.387626521891635,yellow,7
Queens,33549,35.49297296491699,11.55420608661957,yellow,7
Staten Island,6,44.0,14.413333333333334,yellow,7
Unknown,6623,12.622754038955156,2.839258644118979,yellow,7
Bronx,622,21.630771704180063,6.130064308681672,yellow,8
Brooklyn,5904,15.690643631436314,4.068841463414634,yellow,8
EWR,3,45.666666666666664,13.756666666666666,yellow,8
Manhattan,453120,11.28245956920904,2.3900359507415256,yellow,8
Queens,34188,35.725827483327485,11.594680004680004,yellow,8
Staten Island,7,65.14285714285714,18.12142857142857,yellow,8
Unknown,6078,12.471783481408359,2.781194471865745,yellow,8
Bronx,630,23.267142857142854,6.5281746031746035,yellow,9
Brooklyn,6695,15.793783420463033,4.018158327109783,yellow,9
EWR,4,85.015,15.29,yellow,9
Manhattan,453863,11.665982201677599,2.3970243663836883,yellow,9
Queens,32704,36.39687775195695,11.686956029843445,yellow,9
Staten Island,11,36.92818181818182,12.530000000000001,yellow,9
Unknown,6015,13.02069825436409,2.9013167082294262,yellow,9
Bronx,661,24.066611195158853,6.801467473524961,yellow,10
Brooklyn,6588,16.87516848816029,4.340822707953856,yellow,10
EWR,4,45.25,7.120000000000001,yellow,10
Manhattan,453700,11.695702865329512,2.3837297773859376,yellow,10
Queens,31475,36.92614487688642,11.801239396346308,yellow,10
Staten Island,19,36.89473684210526,11.572105263157894,yellow,10
Unknown,7470,12.672128514056226,2.7372463186077645,yellow,10
Bronx,762,24.371023622047247,6.780643044619423,yellow,11
Brooklyn,6246,17.018903298110793,4.3850320204931155,yellow,11
EWR,5,63.6,11.306000000000001,yellow,11
Manhattan,453233,11.640674333069304,2.339810318313097,yellow,11
Queens,31350,36.280119617224884,11.567574800637958,yellow,11
Staten Island,14,37.07285714285714,10.194285714285714,yellow,11
Unknown,8279,12.69777026210895,2.6993344606836573,yellow,11
Bronx,839,24.677735399284863,7.15249106078665,yellow,12
Brooklyn,6315,16.588041171813142,4.313010292953286,yellow,12
EWR,4,102.0,6.034999999999999,yellow,12
Manhattan,454663,11.539312787713097,2.355559018437832,yellow,12
Queens,29208,35.66256162695152,11.408067310325938,yellow,12
Staten Island,18,35.029444444444444,11.152777777777779,yellow,12
Unknown,8858,12.484639873560623,2.6754177015127567,yellow,12
Bronx,21250,14.361606588235295,3.5370771764705884,green,1
Brooklyn,167200,13.005080562200957,3.0008639952153113,green,1
EWR,1,32.5,11.83,green,1
Manhattan,164704,10.669029835340975,2.383461603846901,green,1
Queens,146530,11.33355019449942,2.6258555927113902,green,1
Staten Island,38,28.69736842105263,7.213157894736843,green,1
Unknown,228,10.890350877192983,2.5494736842105263,green,1
Bronx,22485,14.50578830331332,3.568363798087614,green,2
Brooklyn,165739,13.190223363239793,3.062512564936436,green,2
Manhattan,169748,10.761030527605627,2.426913188962462,green,2
Queens,141692,11.496195198035174,2.6945255201422804,green,2
Staten Island,62,26.387096774193548,7.6,green,2
Unknown,208,11.584134615384615,2.780625,green,2
Bronx,25492,17.164034991369842,4.420634316648361,green,3
Brooklyn,163261,14.205803161808392,3.354189733004208,green,3
Manhattan,166387,11.047791954900323,2.4963233305486607,green,3
Queens,144540,12.132580047045801,2.864178566486786,green,3
Staten Island,51,51.5,15.978039215686275,green,3
Unknown,201,10.571144278606965,2.3188059701492536,green,3
Bronx,27066,18.812567797236387,4.930307027266681,green,4
Brooklyn,164022,14.787476984794722,3.5331426881759764,green,4
EWR,2,58.25,8.174999999999999,green,4
Manhattan,165286,11.269541400965599,2.5335532954999214,green,4
Queens,143250,12.68659092495637,3.0537595811518323,green,4
Staten Island,66,42.09090909090909,13.637727272727274,green,4
Unknown,231,11.158008658008658,2.526147186147186,green,4
Bronx,29518,19.972439528423333,5.203757368385392,green,5
Brooklyn,159683,15.590337794254868,3.713644971599982,green,5
Manhattan,160992,11.804605073544026,2.640751590141125,green,5
Queens,149504,13.109975987264555,3.1415530019263698,green,5
Staten Island,59,43.355932203389834,13.738474576271187,green,5
Unknown,189,13.291005291005291,3.221058201058201,green,5
Bronx,30597,20.104264143543485,5.305176978135111,green,6
Brooklyn,157132,15.65920245398773,3.764959906320801,green,6
Manhattan,161039,11.779429268686467,2.662329187339713,green,6
Queens,150897,13.458533900607698,3.270847664300814,green,6
Staten Island,59,46.97457627118644,15.41677966101695,green,6
Unknown,176,11.676136363636363,2.802443181818182,green,6
Bronx,28808,19.907303873923908,5.396482574284921,green,7
Brooklyn,160138,15.652942587018696,3.839628195681225,green,7
Manhattan,159732,11.42807177021511,2.6306874640022033,green,7
Queens,150952,13.212233557687213,3.258967552599502,green,7
Staten Island,81,46.96913580246913,15.61753086419753,green,7
Unknown,208,11.141826923076923,2.562548076923077,green,7
Bronx,31242,19.998432878816978,5.487624031752128,green,8
Brooklyn,153357,15.869650097484955,3.936098580436498,green,8
Manhattan,159526,11.401109537003371,2.6380265285909505,green,8
Queens,155382,13.498031432212226,3.3731453450206588,green,8
Staten Island,120,49.84041666666667,16.236583333333336,green,8
Unknown,289,11.153979238754324,2.5031487889273354,green,8
Bronx,30778,20.50854928845279,5.559911625186822,green,9
Brooklyn,158777,15.983964994929995,3.8978922010114814,green,9
Manhattan,159435,11.700070310784959,2.6414915169191207,green,9
Queens,150560,14.095715462274176,3.5282818145589796,green,9
Staten Island,138,54.584710144927534,17.871014492753623,green,9
Unknown,203,12.89064039408867,3.0896059113300494,green,9
Bronx,33761,20.81018808684577,5.62414857379817,green,10
Brooklyn,163274,16.5884813258694,4.050107671766479,green,10
Manhattan,157605,11.80267402683925,2.6629240823577933,green,10
Queens,144943,13.570299635028942,3.3154161980916634,green,10
Staten Island,144,46.90298611111111,14.993888888888888,green,10
Unknown,180,12.173333333333332,2.771,green,10
Bronx,34434,21.268450078410876,5.765073183481443,green,11
Brooklyn,157760,16.640728004563893,4.062363717038539,green,11
Manhattan,156940,11.813299923537658,2.6459773161717854,green,11
Queens,150430,13.658506016087218,3.3251469121850694,green,11
Staten Island,175,49.29611428571428,15.911542857142857,green,11
Unknown,166,12.798192771084338,2.990421686746988,green,11
Bronx,34501,21.16471725457233,5.905230573026868,green,12
Brooklyn,158549,16.25242354098733,4.046050747718371,green,12
Manhattan,155719,11.469517014622493,2.6274646639138446,green,12
Queens,150717,13.506569132878177,3.322489964635708,green,12
Staten Island,201,48.75333333333333,15.821691542288557,green,12
Unknown,221,12.357737556561085,2.9243438914027147,green,12
